"UnitNumber","insff","inschangetime"
"R2N8K651","1","1,765,980,911"
"D6N53731","1","1,765,980,675"
"R2N8K651","1","1,765,980,866"
"R2N8K651","1","1,765,980,825"
"F8N0GGG7","1","1,765,980,869"
"R2N8K651","1","1,765,980,785"
"R2N8R791","1","1,765,980,849"
"R2N8K651","1","1,765,980,947"
"R2N8R791","1","1,765,980,880"
"R2N8R791","1","1,765,980,712"
"R2N8R791","1","1,765,980,856"
"N8S01B68","1","1,765,980,805"
"R2S02O99","1","1,765,981,126"
"R2S03262","1","1,765,980,713"
"R2N8K651","1","1,765,980,953"
"R2N8K651","1","1,765,980,805"
"R2N8K651","1","1,765,981,016"
"R2N8R791","1","1,765,980,730"
"R2N8R791","1","1,765,980,901"
"R2N8R791","1","1,765,980,887"
"R2N8K651","1","1,765,980,672"
"R2N8K651","1","1,765,980,998"
"R2N8R791","1","1,765,980,672"
"R2N8K651","1","1,765,980,924"
"R2N8R791","1","1,765,980,999"
"R2N8K651","1","1,765,980,714"
"R2N8R791","1","1,765,981,022"
"F8N47Z72","1","1,765,980,995"
"R2N8K651","1","1,765,981,041"
"R2N8K651","1","1,765,980,899"
"R2N8K651","1","1,765,980,669"
"R2N1S436","1","1,765,980,761"
"R2N8K651","1","1,765,981,066"
"R2N8R791","1","1,765,980,705"
"R2N8K651","1","1,765,981,083"
"R2N8R791","1","1,765,980,703"
"R2N8K651","1","1,765,981,069"
"R2N8R791","1","1,765,980,721"
"R2N8K651","1","1,765,980,808"
"R2N8R791","1","1,765,980,726"
"R2N8K651","1","1,765,980,731"
"R2N8R791","1","1,765,980,878"
"R2N8R791","1","1,765,980,685"
"R2N73237","1","1,765,980,731"
"R2N8R791","1","1,765,980,913"
"R2N8K651","1","1,765,980,766"
"F8N0NHD1","1","1,765,981,202"
"R2N8K651","1","1,765,981,241"
"R2N9X054","1","1,765,981,212"
"D6NH7697","1","1,765,980,958"
"R2N8K651","1","1,765,980,943"
"R2N8K651","1","1,765,981,096"
"R2N8R791","1","1,765,980,950"
"R2N1Z616","1","1,765,980,967"
"R2N8K651","1","1,765,980,957"
"R2N8K651","1","1,765,980,970"
"R2N8R791","1","1,765,980,959"
"R2N8K651","1","1,765,981,148"
"R2N8R791","1","1,765,980,756"
"D6N39900","1","1,765,980,761"
"R2N8R791","1","1,765,980,982"
"R2N8R791","1","1,765,980,931"
"R2N8R791","1","1,765,980,803"
"R2N8R791","1","1,765,980,937"
"R2N8R791","1","1,765,980,815"
"R2N8K651","1","1,765,981,186"
"R2NS6291","1","1,765,980,990"
"R2N8K651","1","1,765,981,528"
"F8N1TBG1","1","1,765,980,715"
"R2N8K651","1","1,765,981,196"
"R2N8K651","1","1,765,981,541"
"R2N8R791","1","1,765,980,830"
"R2N8K651","1","1,765,980,904"
"R2N8K651","1","1,765,980,830"
"R2S03261","1","1,765,980,778"
"R2N8K651","1","1,765,981,044"
"R2N8K651","1","1,765,981,272"
"F8N0GGG7","1","1,765,980,845"
"R2N8K651","1","1,765,980,951"
"R2N8K651","1","1,765,981,003"
"R2N8R791","1","1,765,980,957"
